,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p4-実績確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,≪PC≫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,（実績：確定前）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▼機能概要,,,,,,
,,配車発注管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,メッセージ,,,,,,,,,,,,,,,,,,,,,,,,・ベースから送付された実績（日別傭車費一覧）の詳細が確認できる,,,,,
,,システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・内容を確認し、ベースとメッセージでやり取りができる,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・タブで「確定前」「確定後」の画面表示を切り替えることができる,,,,,
,,受注管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▼項目,,,,,,
,,実績確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⑴年月：,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・プルダウンより、実績対象の年月が選択できる,,,,
,,請求確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⑵依頼ベース：,,,,,
,,,,,,,,,,,,線便コード,,,,032990-025990-02 ,,,,,,032990-02799-23 ,,,,,,032990-027990-G8 ,,,,,,032990-027990-G9 ,,,,,,032990-027990-NI ,,,,,,032990-032990-M7 ,,,,,,032990-032990-MB ,,,,,,032990-043990-ZA ,,,,,,,,,,,・プルダウンより、実績対象の依頼ベースが選択できる,,,,
,,,,,,,,,,,,線便名,,,,大賀10t①,,,,,,大賀10t②,,,,,,大賀10t③,,,,,,大賀10t④,,,,,,中四国中継,,,,,,大賀10t⑤,,,,,,大賀10t⑥,,,,,,松本往復,,,,,,,,,,,,,,,
,,,,,,,,,,承諾済,,1,,土,,0,,,,,,46192,,,,,,46192,,,,,,39980,,,,,,19235,,,,,,40067,,,,,,40067,,,,,,0,,,,,,,,,,⑶日別傭車費一覧：,,,,,
,,,,,,,,,,□,,2,,日,,0,,,,,,40242,,,,,,0,,,,,,0,,,,,,0,,,,,,40192,,,,,,0,,,,,,0,,,,,,,,,,,・ベースから送付された日別傭車費一覧および、月間運行指示書（確定版）を参照できる,,,,
,,,,,,,,,,□,,3,,月,,46105,,,,,,40155,,,,,,46192,,,,,,40417,,,,,,0,,,,,,40155,,,,,,40067,,,,,,0,,,,,,,,,,,・ベースから送付された日別傭車費一覧および、月間運行指示書（確定版）に誤りなどがある場合、ベースに確認依頼ができる,,,,
,,,,,,,,,,□,,4,,火,,46105,,,,,,40155,,,,,,46192,,,,,,40417,,,,,,19235,,,,,,40155,,,,,,0,,,,,,0,,,,,,,,,,,,確認依頼：「確認依頼」ボタンを押下すると、確認したい箇所を指定できる,,,
,,,,,,,,,,承諾済,,5,,水,,46105,,,,,,40155,,,,,,46192,,,,,,40417,,,,,,19235,,,,,,40155,,,,,,0,,,,,,74305,,,,,,,,,,,,,,,日別傭車費一覧の日付右「金額」の部分をクリックすると、吹き出しが表示される
,,,,,,,,,,承諾済,,6,,木,,46105,,,,,,40155,,,,,,46192,,,,,,40417,,,,,,19235,,,,,,40155,,,,,,0,,,,,,0,,,,,,,,,,,,,,,吹き出しで、「金額」「事由（プルダウン）」「変更後（フリーテキスト）」が入力できる
,,,,,,,,,,□,,7,,金,,46105,,,,,,40155,,,,,,46192,,,,,,40417,,,,,,19235,,,,,,40155,,,,,,40155,,,,,,0,,,,,,,,,,,,,,,変更した項目は、背景が強調表示になり、マウスオーバーで吹き出しの内容を表示する
